293#77	"If we're going to look for these stealth black holes at the center of galaxies, the best place to look is in our own galaxy, our Milky Way.
And this is a wide field picture taken of the center of the Milky Way.
And what we see is a line of stars."	Because that is the way to suppress the energetic phenomena that we see in active galactic nuclei.	1
1171#19	"In the US, these devices come under the FDA's jurisdiction as a tobacco product.
But the science on these devices has not been able to keep up with the rapid market growth, so regulations on the components of these devices and e-liquids are lagging.
Current regulations do restrict sales of these devices to anyone under the age of 18, but these do not seem to have had much of an impact on the explosion in the use of these devices by teens."	Now, e-cigarettes were originally created to offer smokers a cleaner form of nicotine to help with their cigarette addiction.	1
1466#46	"So an interesting idea is, what if you could take any material you wanted, or any element on the periodic table, and find its corresponding DNA sequence, then code it for a corresponding protein sequence to build a structure, but not build an abalone shell -- build something that nature has never had the opportunity to work with yet.
And so here's the periodic table.
I absolutely love the periodic table."	"""Here's the DNA sequence, here's the protein sequence in order to do it."""""""	1
1691#22	"What I was trying to do with tuning these hormones and neurotransmitters and so forth was to try to get my intelligence back after my illness and surgery, my creative thought, my idea flow.
And I think mostly in images, and so for me that became a key metric -- how to get these mental images that I use as a way of rapid prototyping, if you will, my ideas, trying on different new ideas for size, playing out scenarios.
This kind of thinking isn't new."	But that experience, I think, gave me a new appreciation for men and what they might walk through, and I've gotten along with men a lot better since then.	1
522#46	"That's where their consumers come from.
And we have to get our messaging in there.
So the essentials are, we've got to have interaction in those areas, with the terrorists, the facilitators, etc."	That's where they get their power and strength.	1
1361#157	"The Health Impact Fund is beneficial for all parties.
It benefits innovators by giving them a new market, and most importantly, by overcoming their public relations problems that we started with.
It benefits patients, because patients are much more likely to get the right medicine, and also for these medicines to be developed, the medicines that we most need."	So the rate will always be at a reasonable level.	1
1401#55	"For a long time, I wanted to create a space for contemplation and poetry.
And in 2019, I was given the opportunity to do just that by the Trust of Governor's Island.
They provided me with the perfect canvas in the form of a former military chapel."	Their stories and words became the foundation of over 30 drawings and artworks, which took over the promenade walls, windows and floors.	1
1840#25	"FG: Well, I've always just ...
I've never really gone out looking for work.
I always waited for it to sort of hit me on the head."	It's a big issue.	1
565#83	"And you can follow these channels and you can see how they all converge.
And they converge into this channel here, which drains into this region.
You are looking at a shoreline."	It's a dendritic drainage pattern that can be formed only by the flow of liquids.	1
946#216	"What role have rich, powerful countries like the United States played in making it hard or impossible for immigrants to stay in their home countries?
Picking up and moving from your country is difficult and dangerous, but many immigrants simply do not have the option of staying home if they want to survive.
Wars, trade agreements and consumer habits rooted in the Global North play a major and devastating role here."	Second, we need to ask questions about responsibility.	1
