NWYyXmEPTgk#70	"Mais mon corps a compris avant ma tête, avant mon cœur peut-être, que cette course de 15 ans n'est plus la mienne, et qu'il est temps pour moi de changer de vie.
Ma famille est épuisée, je suis épuisée et nous divorçons en 5 semaines.
En divorçant, je perds mon travail, et j'ai à la maison 2 adolescentes qui viennent de passer une année très difficile et qui ont un besoin urgent : que leur maman aille bien."	Pour finir, je découvre que je suis enceinte.	1
p4ux2KO3NNI#133	"C'est du travail au noir.
Ça ne rentre pas dans le cadre juridique légal.
Vendre des armes, ça l'est en France ; par contre, donner un coup de main, non."	Donc, nous avons un vrai problème.	1
dPL1C9gFjks#60	"Au niveau cérébral, la colère va être traitée très rapidement par l'amygdale, le centre des émotions, qui va transmettre cette information en moins de 200 millisecondes, c'est-à-dire un cinquième de seconde, non seulement à la voie ventrale, pour lui dire : « Attention, il y a dans l'environnement une chose importante qu'il faut que tu comprennes », et aussi à la voie dorsale pour lui dire qu'il va bientôt falloir agir.
Mais il ne s'agit pas de réflexe ici comme auparavant, avec le cri.
Il s'agit d'une décision entre plusieurs actions et en fonction de la situation."	Si je reviens à mon café, face à la colère de l'autre, et spontanément, sans vraiment réfléchir, je peux décider soit de me lever et de refaire du café, mais je pourrais aussi décider de me mettre en colère.	1
e7MdGcetv6A#55	"Le bonheur, c'est davantage la richesse d'une relation affective, et la capacité de réaliser nos aspirations profondes.
« Moins de biens et plus de liens » pourrait être la devise de cette vie sobre mais néanmoins heureuse.
Ce style de vie, c'est celui que Pierre Rahbi nous propose sous le vocable de sobriété heureuse."	Or tout autour de la planète, nous voyons poindre des signes encourageants, comme quoi le train de la post-croissance est en marche.	1
sr2l8PQg_2E#16	"Moi, c'est la première fois, à Compiègne, que j'ai regardé une carte géographique avant de venir.
Donc, je regarde soit les cartes en papier, soit les cartes interactives.
C'est bien pratique parce qu'aujourd'hui, on a toujours notre smartphone avec nous, et ça nous donne accès aux cartes géographiques presque partout."	Mais, malgré cela, je connais le sentiment de me sentir perdue dans une ville que je visite pour la première fois, et je pense que vous aussi, vous avez déjà vécu cette situation.	1
l7u-SUgfl_A#80	"Cette passion pour le modélisme m'a amené à un autre domaine.
C'est le monde de la machine-outil.
Une machine-outil, c'est une machine industrielle."	Grosso modo, vous prenez un bloc de matière, vous le mettez dans la machine, vous tournez les manivelles, mettez en route, et vous obtenez une belle pièce, une belle pièce industrielle très jolie, avec de la précision, le top du top.	1
hYMUUCrzkN8#29	"Et quand on fait la synthèse de sa vie, on arrive à quoi ?
À se rendre compte que mes souvenirs, pour moi, c'était le rêve.
Et le rêve était magique :  d'avoir la semaine des sept dimanches."	Le dimanche, c'était énorme.	1
dkO0_3QFxmU#79	"Après s'être abandonné à la contemplation, aspirer à la compréhension.
Alors, à grand renfort de matériel spécialement conçu pour l'occasion afin de modéliser en trois dimensions les mouvements de ces fameuses nageoires grâce à deux caméras synchronisées.
A 120 mètres de fond, le challenge pour les plongeurs, c'était de faire passer le cœlacanthe dans le feu croisé des deux rayons laser et suivre évidemment, enregistrer tous ses mouvements, tous ses déplacements, parce que le but final était de comprendre comment s'articulaient les os de ses nageoires, rien d'autre que l'ancêtre de nos bras et de nos jambes."	Cette aventure, c'était notre routine, descendre tous les jours dans ces canyons profonds, un plaisir grisant d'ailleurs, celui de voir un monde totalement étranger devenir chaque jour un peu plus un monde familier.	1
1dIuZE7Rb5g#64	"C'est paradoxal vu qu'il y a beaucoup de perturbations.
Ils se sont dit : « On met tout le monde dans une boîte, on en réduit la taille, on secoue tout ça et il va en sortir plein d'innovations. »
Pour rendre ça possible, ils payaient des cours de méditation aux salariés pour arriver à contre-balancer."	Donc, ils sont plutôt allés dans la direction de la densification.	1
KgStMtYx9IU#129	"Le conte pour soigner, le conte pour guérir.
Le conte serait une sorte de médicament, une pilule.
Attention, un médicament dont il n'y aurait aucun effet secondaire à déplorer, pas de ces médicaments qui nous endorment, nous anesthésient, au contraire."	Ce médicament-là, il nous réveille.	1
